sku,cat1,cat2,cat3
00.01.10.014,Cosmética y Belleza,Corporal,Hidratación
00.071697.000.000,Infantil,Juguetes,Mordedores
000133,Infantil,Higiene infantil,Canastillas y kits bebé
000147,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
000148,Cosmética y Belleza,Manos,Crema de Manos
000200,Higiene y cuidado personal,Facial,Mascarillas
000203,Cosmética y Belleza,Corporal,Hidratación
000206,Cosmética y Belleza,Corporal,Hidratación
000210,Cosmética y Belleza,Corporal,Hidratación
000211,Cosmética y Belleza,Corporal,Hidratación
000235,Infantil,Juguetes,Sonajeros
000300,Infantil,Higiene infantil,Canastillas y kits bebé
000313,Infantil,Lactancia,Accesorios de extracción
000471,Nutrición,Nutrición Deportiva,Proteínas
000543,Cosmética y Belleza,Facial,Ampollas
000556,Infantil,Higiene infantil,Canastillas y kits bebé
0005610,Infantil,Lactancia,Discos de Lactancia
00065357300200,Infantil,Accesorios de alimentación,Esterilización y limpieza
0007070,Salud,Aromaterapia,Aceites esenciales
000910.Ballena,Salud,Botiquín,Termómetros
000910.Caracol,Salud,Botiquín,Termómetros
000910.Pulpo,Salud,Botiquín,Termómetros
000945,Salud,Problemas cardiovasculares y circulación,Colesterol
001003,Salud,Vitaminas y Minerales,Suplementos
001261,Salud,Descanso y relajación,Nerviosismo y estrés
001262,Salud,Descanso y relajación,""
001263,Nutrición,Pérdida de peso,Drenajes
001264,Nutrición,Pérdida de peso,Drenajes
001265,Salud,Vitaminas y Minerales,Suplementos
001267,Salud,Trastornos digestivos,Flora intestinal y digestión
