,sku,cat1,cat2,cat3
0,00.01.10.014,Cosmética y Belleza,Corporal,Hidratación
1,00.071697.000.000,Infantil,Juguetes,Mordedores
2,000133,Infantil,Higiene infantil,Canastillas y kits bebé
3,000147,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
4,000148,Cosmética y Belleza,Manos,Crema de Manos
5,000200,Higiene y cuidado personal,Facial,Mascarillas
6,000203,Cosmética y Belleza,Corporal,Hidratación
7,000206,Cosmética y Belleza,Corporal,Hidratación
8,000210,Cosmética y Belleza,Corporal,Hidratación
9,000211,Cosmética y Belleza,Corporal,Hidratación
10,000235,Infantil,Juguetes,Sonajeros
11,000300,Infantil,Higiene infantil,Canastillas y kits bebé
12,000313,Infantil,Lactancia,Accesorios de extracción
13,000471,Nutrición,Nutrición Deportiva,Proteínas
14,000543,Cosmética y Belleza,Facial,Ampollas
15,000556,Infantil,Higiene infantil,Canastillas y kits bebé
16,0005610,Infantil,Lactancia,Discos de Lactancia
17,00065357300200,Infantil,Accesorios de alimentación,Esterilización y limpieza
18,0007070,Salud,Aromaterapia,Aceites esenciales
19,000910.Ballena,Salud,Botiquín,Termómetros
20,000910.Caracol,Salud,Botiquín,Termómetros
21,000910.Pulpo,Salud,Botiquín,Termómetros
22,000945,Salud,Problemas cardiovasculares y circulación,Colesterol
23,001003,Salud,Vitaminas y Minerales,Suplementos
24,001261,Salud,Descanso y relajación,Nerviosismo y estrés
25,001262,Salud,Descanso y relajación,
26,001263,Nutrición,Pérdida de peso,Drenajes
27,001264,Nutrición,Pérdida de peso,Drenajes
28,001265,Salud,Vitaminas y Minerales,Suplementos
29,001267,Salud,Trastornos digestivos ,Flora intestinal y digestión
31,001469,Veterinaria,,
32,001492,Salud,Óptica,Líquido lentillas
33,001602,Higiene y cuidado personal,Corporal,Geles
34,001657411,Higiene y cuidado personal,Pies,Limas y durezas
35,002150,Salud,Vitaminas y Minerales,Suplementos
36,002369,Salud,Belleza,Cabello | Uñas
37,002370,Salud,Descanso y relajación,
38,002402,Salud,Salud Sexual,Falta de Deseo
39,002426c013650,Salud,Óptica,Líquido lentillas
40,002453,Salud,Mujer,Menopausia
41,002454,Salud,Descanso y relajación,
42,002457,Salud,Trastornos digestivos ,Flora intestinal y digestión
43,002615,Salud,Botiquín,Antimosquitos
45,002656,Higiene y cuidado personal,Íntima,Protegeslip
46,002661,Higiene y cuidado personal,Cabello,Anticaída
47,002661+181553,Higiene y cuidado personal,Cabello,Anticaída
48,002706,Salud,Vitaminas y Minerales,Suplementos
56,002896,Salud,Vitaminas y Minerales,Suplementos
57,002898,Salud,Botiquín,Golpes y hematomas
58,002902,Salud,Vitaminas y Minerales,Suplementos
59,002903,Salud,Trastornos digestivos ,Flora intestinal y digestión
60,002906,Salud,Trastornos digestivos ,Función hepática
61,002907,Nutrición,Pérdida de peso,Drenajes
62,002910,Nutrición,Pérdida de peso,Drenajes
63,003046,Salud,Salud Sexual,Accesorios
64,003115,Higiene y cuidado personal,Dental,Cepillos eléctricos
65,003327,Salud,Descanso y relajación,
66,003379,Cosmética y Belleza,Sol,Suplementos
67,003611,Salud,Aparato Urinario,Próstata
68,003612,Salud,Problemas cardiovasculares y circulación,Colesterol
70,003621,Salud,Problemas cardiovasculares y circulación,Colesterol
71,003622,Salud,Vitaminas y Minerales,Suplementos
72,003625,Nutrición,Nutrición Deportiva,Isotónicos y recuperadores
73,003626,Salud,Trastornos digestivos ,
75,003762,Cosmética y Belleza,Facial,Antimanchas
76,003943,Salud,Vitaminas y Minerales,Jalea real
77,004007,Infantil,Biberones,Biberones
78,004128,Higiene y cuidado personal,Íntima,Tampones
79,004143,Infantil,Cambio de pañal,Pañales
80,004227,Salud,Ortopedia,Básculas
81,004263,Salud,Óptica,Líquido lentillas
82,004308,Infantil,Higiene infantil,Crema pañal
83,004422,Salud,Ortopedia,Movilidad y Descanso
84,004470,Infantil,Accesorios de alimentación,Esterilización y limpieza
85,004572331,Higiene y cuidado personal,Cabello,Peinado y tratamiento
86,004694,Salud,Ortopedia,Zapatos y Zuecos
87,004904,Higiene y cuidado personal,Nariz y oído,Limpieza
88,005015.azul,Cosmética y Belleza,Uñas,Limas y tratamiento uñas
89,005015.Rosa,Cosmética y Belleza,Uñas,Limas y tratamiento uñas
90,005096,Higiene y cuidado personal,Dental,Blanqueamiento Dental
91,005100,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
92,005121,Higiene y cuidado personal,Dental,Blanqueamiento Dental
93,005228,Cosmética y Belleza,Sol,Aceite Solar
94,005229,Salud,Trastornos digestivos ,
95,005265,Cosmética y Belleza,Manos,Crema de Manos
96,005390,Salud,Vitaminas y Minerales,Suplementos
97,005414874004074,Higiene y cuidado personal,Íntima,Incontinencia
98,005544,Salud,Vitaminas y Minerales,Suplementos
99,005552,Salud,Vitaminas y Minerales,Suplementos
100,005557,Higiene y cuidado personal,Dental,Cuidados Especiales
101,005600,Higiene y cuidado personal,Íntima,Compresas
102,005601,Higiene y cuidado personal,Íntima,Compresas
103,005602,Higiene y cuidado personal,Íntima,Protegeslip
104,005603,Higiene y cuidado personal,Íntima,Tampones
105,005604,Higiene y cuidado personal,Íntima,Tampones
106,005606,Higiene y cuidado personal,Íntima,Tampones
107,005607,Higiene y cuidado personal,Íntima,Compresas
108,005608,Higiene y cuidado personal,Íntima,Protegeslip
109,005609,Higiene y cuidado personal,Íntima,Compresas
110,005611,Higiene y cuidado personal,Íntima,Compresas
111,005612,Higiene y cuidado personal,Íntima,Protegeslip
112,005613,Higiene y cuidado personal,Íntima,Compresas
113,005614,Higiene y cuidado personal,Íntima,Compresas
114,005615,Higiene y cuidado personal,Facial,Desmaquillantes y limpiadores
115,005616,Higiene y cuidado personal,Nariz y oído,Limpieza
116,005742,Salud,Ortopedia,Bolsas de frío y calor
117,005933,Salud,Descanso y relajación,
118,005940,Salud,Descanso y relajación,
119,0061013,Infantil,Higiene infantil,Colonias
120,0061014,Infantil,Higiene infantil,Colonias
121,006244,Infantil,Cambio de pañal,Pañales
123,006324,Salud,Óptica,Líquido lentillas
124,006477,Salud,Vitaminas y Minerales,Suplementos
125,006485,Nutrición,Pérdida de peso,Quemagrasas
126,006597a,Salud,Óptica,Líquido lentillas
127,006CON,Infantil,Chupetes,Chupetes Personalizados
128,007191,Infantil,Cambio de pañal,Pañales
129,007192,Infantil,Cambio de pañal,Pañales
130,007193,Infantil,Cambio de pañal,Pañales
131,007194,Infantil,Cambio de pañal,Pañales
132,007229,Salud,Salud Sexual,Falta de Deseo
133,007417,Salud,Vitaminas y Minerales,Suplementos
134,007647,Infantil,Juguetes,Educativos e interactivos
135,0076472,Infantil,Juguetes,Educativos e interactivos
137,007664,Salud,Óptica,Colirios
138,007665,Salud,Salud Sexual,Falta de Deseo
139,007719,Salud,Mujer,Menopausia
140,007895,Infantil,Juguetes,Educativos e interactivos
141,007907,Infantil,Juguetes,Educativos e interactivos
142,008.0381,Infantil,Lactancia,Sacaleches
