,sku,cat1,cat2,cat3
0,00.01.10.014,cosmética y belleza,corporal,hidratación
1,00.071697.000.000,infantil,juguetes,mordedores
2,000133,infantil,higiene infantil,canastillas y kits bebé
3,000147,higiene y cuidado personal,facial,desmaquillantes y limpiadores
4,000148,cosmética y belleza,manos,crema de manos
5,000200,higiene y cuidado personal,facial,mascarillas
6,000203,cosmética y belleza,corporal,hidratación
7,000206,cosmética y belleza,corporal,hidratación
8,000210,cosmética y belleza,corporal,hidratación
9,000211,cosmética y belleza,corporal,hidratación
10,000235,infantil,juguetes,sonajeros
11,000300,infantil,higiene infantil,canastillas y kits bebé
12,000313,infantil,lactancia,accesorios de extracción
13,000471,nutrición,nutrición deportiva,proteínas
14,000543,cosmética y belleza,facial,ampollas
15,000556,infantil,higiene infantil,canastillas y kits bebé
16,0005610,infantil,lactancia,discos de lactancia
17,00065357300200,infantil,accesorios de alimentación,esterilización y limpieza
18,0007070,salud,aromaterapia,aceites esenciales
19,000910.Ballena,salud,botiquín,termómetros
20,000910.Caracol,salud,botiquín,termómetros
21,000910.Pulpo,salud,botiquín,termómetros
22,000945,salud,problemas cardiovasculares y circulación,colesterol
23,001003,salud,vitaminas y minerales,suplementos
24,001261,salud,descanso y relajación,nerviosismo y estrés
25,001262,salud,descanso y relajación,
26,001263,nutrición,pérdida de peso,drenajes
27,001264,nutrición,pérdida de peso,drenajes
28,001265,salud,vitaminas y minerales,suplementos
29,001267,salud,trastornos digestivos ,flora intestinal y digestión
31,001469,veterinaria,,
32,001492,salud,óptica,líquido lentillas
33,001602,higiene y cuidado personal,corporal,geles
34,001657411,higiene y cuidado personal,pies,limas y durezas
35,002150,salud,vitaminas y minerales,suplementos
36,002369,salud,belleza,cabello | uñas
37,002370,salud,descanso y relajación,
38,002402,salud,salud sexual,falta de deseo
39,002426c013650,salud,óptica,líquido lentillas
40,002453,salud,mujer,menopausia
41,002454,salud,descanso y relajación,
42,002457,salud,trastornos digestivos ,flora intestinal y digestión
43,002615,salud,botiquín,antimosquitos
45,002656,higiene y cuidado personal,íntima,protegeslip
46,002661,higiene y cuidado personal,cabello,anticaída
47,002661+181553,higiene y cuidado personal,cabello,anticaída
48,002706,salud,vitaminas y minerales,suplementos
56,002896,salud,vitaminas y minerales,suplementos
57,002898,salud,botiquín,golpes y hematomas
58,002902,salud,vitaminas y minerales,suplementos
59,002903,salud,trastornos digestivos ,flora intestinal y digestión
60,002906,salud,trastornos digestivos ,función hepática
61,002907,nutrición,pérdida de peso,drenajes
62,002910,nutrición,pérdida de peso,drenajes
63,003046,salud,salud sexual,accesorios
64,003115,higiene y cuidado personal,dental,cepillos eléctricos
65,003327,salud,descanso y relajación,
66,003379,cosmética y belleza,sol,suplementos
67,003611,salud,aparato urinario,próstata
68,003612,salud,problemas cardiovasculares y circulación,colesterol
70,003621,salud,problemas cardiovasculares y circulación,colesterol
71,003622,salud,vitaminas y minerales,suplementos
72,003625,nutrición,nutrición deportiva,isotónicos y recuperadores
73,003626,salud,trastornos digestivos ,
75,003762,cosmética y belleza,facial,antimanchas
76,003943,salud,vitaminas y minerales,jalea real
77,004007,infantil,biberones,biberones
78,004128,higiene y cuidado personal,íntima,tampones
79,004143,infantil,cambio de pañal,pañales
80,004227,salud,ortopedia,básculas
81,004263,salud,óptica,líquido lentillas
82,004308,infantil,higiene infantil,crema pañal
83,004422,salud,ortopedia,movilidad y descanso
84,004470,infantil,accesorios de alimentación,esterilización y limpieza
85,004572331,higiene y cuidado personal,cabello,peinado y tratamiento
86,004694,salud,ortopedia,zapatos y zuecos
87,004904,higiene y cuidado personal,nariz y oído,limpieza
88,005015.azul,cosmética y belleza,uñas,limas y tratamiento uñas
89,005015.Rosa,cosmética y belleza,uñas,limas y tratamiento uñas
90,005096,higiene y cuidado personal,dental,blanqueamiento dental
91,005100,higiene y cuidado personal,facial,desmaquillantes y limpiadores
92,005121,higiene y cuidado personal,dental,blanqueamiento dental
93,005228,cosmética y belleza,sol,aceite solar
94,005229,salud,trastornos digestivos ,
95,005265,cosmética y belleza,manos,crema de manos
96,005390,salud,vitaminas y minerales,suplementos
97,005414874004074,higiene y cuidado personal,íntima,incontinencia
98,005544,salud,vitaminas y minerales,suplementos
99,005552,salud,vitaminas y minerales,suplementos
100,005557,higiene y cuidado personal,dental,cuidados especiales
101,005600,higiene y cuidado personal,íntima,compresas
102,005601,higiene y cuidado personal,íntima,compresas
103,005602,higiene y cuidado personal,íntima,protegeslip
104,005603,higiene y cuidado personal,íntima,tampones
105,005604,higiene y cuidado personal,íntima,tampones
106,005606,higiene y cuidado personal,íntima,tampones
107,005607,higiene y cuidado personal,íntima,compresas
108,005608,higiene y cuidado personal,íntima,protegeslip
109,005609,higiene y cuidado personal,íntima,compresas
110,005611,higiene y cuidado personal,íntima,compresas
111,005612,higiene y cuidado personal,íntima,protegeslip
112,005613,higiene y cuidado personal,íntima,compresas
113,005614,higiene y cuidado personal,íntima,compresas
114,005615,higiene y cuidado personal,facial,desmaquillantes y limpiadores
115,005616,higiene y cuidado personal,nariz y oído,limpieza
116,005742,salud,ortopedia,bolsas de frío y calor
117,005933,salud,descanso y relajación,
118,005940,salud,descanso y relajación,
119,0061013,infantil,higiene infantil,colonias
120,0061014,infantil,higiene infantil,colonias
121,006244,infantil,cambio de pañal,pañales
123,006324,salud,óptica,líquido lentillas
124,006477,salud,vitaminas y minerales,suplementos
125,006485,nutrición,pérdida de peso,quemagrasas
126,006597a,salud,óptica,líquido lentillas
127,006CON,infantil,chupetes,chupetes personalizados
128,007191,infantil,cambio de pañal,pañales
129,007192,infantil,cambio de pañal,pañales
130,007193,infantil,cambio de pañal,pañales
131,007194,infantil,cambio de pañal,pañales
132,007229,salud,salud sexual,falta de deseo
133,007417,salud,vitaminas y minerales,suplementos
134,007647,infantil,juguetes,educativos e interactivos
135,0076472,infantil,juguetes,educativos e interactivos
137,007664,salud,óptica,colirios
138,007665,salud,salud sexual,falta de deseo
139,007719,salud,mujer,menopausia
140,007895,infantil,juguetes,educativos e interactivos
141,007907,infantil,juguetes,educativos e interactivos
142,008.0381,infantil,lactancia,sacaleches
143,008.0384,infantil,lactancia,sacaleches
144,008.0404,infantil,lactancia,accesorios de extracción
145,008.0411,infantil,lactancia,accesorios de extracción
146,0080033XXL,infantil,lactancia,accesorios de extracción
147,008015,infantil,juguetes,educativos e interactivos
148,00803,higiene y cuidado personal,corporal,geles
149,0080323,infantil,lactancia,discos de lactancia
150,008582,salud,vitaminas y minerales,suplementos
151,008583,nutrición,pérdida de peso,drenajes
152,008584,salud,vitaminas y minerales,suplementos
153,008585,salud,problemas cardiovasculares y circulación,colesterol
154,008668,salud,vitaminas y minerales,suplementos
155,008701,cosmética y belleza,corporal,piel seca y atópica
156,008777,salud,ortopedia,movilidad y descanso
157,009593786,higiene y cuidado personal,corporal,desodorantes
158,009593792,cosmética y belleza,hombres,afeitado masculino
159,00982,salud,salud sexual,accesorios
160,009931065,higiene y cuidado personal,corporal,geles
