[2022-03-15 01:03:17,637] ScrapLog {2164818226.py:4} INFO - Starting Webscrapping!
[{2164818226.py:4} INFO - Starting Webscrapping!
[2022-03-15 01:03:20,708] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Valencia |Zipcode: 46019 | Orden del dataframe: 0
[{2164818226.py:58} INFO - Sin procesar |City: Valencia |Zipcode: 46019 | Orden del dataframe: 0
[2022-03-15 01:03:20,709] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Valencia |Zipcode: 46019 | Orden del dataframe: 1
[{2164818226.py:58} INFO - Sin procesar |City: Valencia |Zipcode: 46019 | Orden del dataframe: 1
[2022-03-15 01:03:20,709] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Valencia |Zipcode: 46019 | Orden del dataframe: 2
[{2164818226.py:58} INFO - Sin procesar |City: Valencia |Zipcode: 46019 | Orden del dataframe: 2
[2022-03-15 01:03:20,710] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04009 | Orden del dataframe: 3
[{2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04009 | Orden del dataframe: 3
[2022-03-15 01:03:20,710] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04009 | Orden del dataframe: 4
[{2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04009 | Orden del dataframe: 4
[2022-03-15 01:03:20,711] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04009 | Orden del dataframe: 5
[{2164818226.py:58} INFO - Sin procesar |City: Almeria |Zipcode: 04009 | Orden del dataframe: 5
[2022-03-15 01:03:20,711] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Terrassa |Zipcode: 08225 | Orden del dataframe: 6
[{2164818226.py:58} INFO - Sin procesar |City: Terrassa |Zipcode: 08225 | Orden del dataframe: 6
[2022-03-15 01:03:20,712] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Terrassa |Zipcode: 08225 | Orden del dataframe: 7
[{2164818226.py:58} INFO - Sin procesar |City: Terrassa |Zipcode: 08225 | Orden del dataframe: 7
[2022-03-15 01:03:20,712] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Terrassa |Zipcode: 08225 | Orden del dataframe: 8
[{2164818226.py:58} INFO - Sin procesar |City: Terrassa |Zipcode: 08225 | Orden del dataframe: 8
[2022-03-15 01:03:20,713] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Terrassa |Zipcode: 08225 | Orden del dataframe: 9
[{2164818226.py:58} INFO - Sin procesar |City: Terrassa |Zipcode: 08225 | Orden del dataframe: 9
[2022-03-15 01:03:20,713] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Madrid |Zipcode: 28005 | Orden del dataframe: 10
[{2164818226.py:58} INFO - Sin procesar |City: Madrid |Zipcode: 28005 | Orden del dataframe: 10
[2022-03-15 01:03:20,713] ScrapLog {2164818226.py:58} INFO - Sin procesar |City: Madrid |Zipcode: 28005 | Orden del dataframe: 11
[{2164818226.py:58} INFO - Sin procesar |City: Madrid |Zipcode: 28005 | Orden del dataframe: 11
